"",temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (m/s),wind_speed_100m (m/s),shortwave_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),Mese
22,0.548419,0.866406,0.545861,0.185878,0.164015,-0.037025,-0.024037,-0.034664,September
23,0.535545,0.880833,0.546578,0.176515,0.163449,-0.026498,-0.022559,-0.030141,September
0,0.289628,0.900463,0.559121,0.076650,0.101564,-0.030307,-0.059120,-0.040164,April
1,0.289532,0.877059,0.555356,0.124196,0.151157,-0.035305,-0.058813,-0.041032,April
2,0.288433,0.852190,0.543650,0.049273,0.092857,-0.037723,-0.059462,-0.041121,April
3,0.267043,0.914981,0.535198,0.035714,0.031806,-0.037622,-0.057986,-0.041102,April
4,0.263746,0.972648,0.530313,0.063631,0.044274,-0.033967,-0.039874,-0.040246,April
5,0.265019,0.965693,0.546203,0.045797,0.054436,0.034180,-0.018288,-0.020464,April
6,0.285481,0.914492,0.544916,0.042432,0.038401,0.299220,0.264374,0.173196,April
7,0.371703,0.837234,0.545333,0.077310,0.029237,0.459618,0.683981,0.195436,April
8,0.396313,0.681127,0.549124,0.058471,0.033089,0.508558,0.813064,0.342835,April
9,0.439606,0.575219,0.549303,0.074493,0.044192,0.594536,1.009465,0.434644,April
10,0.453047,0.583470,0.551334,0.083970,0.045401,0.502732,1.076871,0.185077,April
11,0.443998,0.596629,0.547916,0.097847,0.106562,0.610198,1.079002,0.143838,April
12,0.379956,0.842491,0.541778,0.120778,0.109638,0.366995,0.802156,0.045489,April
13,0.430649,0.849977,0.532971,0.199624,0.182875,0.268661,0.804012,0.023627,April
14,0.451980,0.811843,0.529932,0.280140,0.215070,0.385293,0.291903,0.174342,April
15,0.460023,0.740936,0.524604,0.301567,0.224238,0.342141,0.194748,0.273059,April
16,0.365365,0.876979,0.526897,0.222200,0.120067,0.040943,0.189583,0.085595,April
17,0.339057,0.896548,0.526951,0.089488,0.047447,-0.013068,-0.029289,0.004454,April
18,0.333688,0.911054,0.530635,0.149855,0.111476,-0.034832,-0.057912,-0.039626,April
19,0.302273,0.955792,0.544114,0.222543,0.213777,-0.037665,-0.060241,-0.041079,April
20,0.287326,0.944576,0.547750,0.266383,0.221318,-0.037330,-0.060151,-0.041072,April
21,0.291250,0.947546,0.547477,0.222687,0.195963,-0.036896,-0.055469,-0.041049,April
22,0.307649,0.949273,0.545892,0.239262,0.239477,-0.033785,-0.057876,-0.040804,April
23,0.306280,0.946338,0.540941,0.270471,0.260569,-0.029541,-0.051551,-0.039804,April
0,0.373533,0.909207,0.495427,0.127535,0.206979,-0.038377,-0.075949,-0.009600,December
1,0.358288,0.931310,0.495342,0.222062,0.317153,-0.039337,-0.076861,-0.009797,December
2,0.364701,0.918786,0.494951,0.217989,0.355284,-0.039392,-0.077082,-0.009804,December
3,0.373937,0.887326,0.490215,0.244178,0.343052,-0.039376,-0.077152,-0.009773,December
4,0.356794,0.905596,0.480082,0.191513,0.331634,-0.038727,-0.076446,-0.009553,December
5,0.363086,0.888482,0.468824,0.158887,0.266106,-0.037535,-0.074384,-0.009635,December
6,0.365286,0.917617,0.475224,0.111117,0.124830,-0.028217,-0.023533,-0.006091,December
7,0.394109,0.776945,0.480977,0.153717,0.104236,0.035428,0.111134,0.058780,December
8,0.441965,0.693251,0.476961,0.206515,0.254494,0.138212,0.617132,0.166799,December
9,0.450173,0.642948,0.484898,0.214831,0.229392,0.250691,0.710125,0.204174,December
10,0.456980,0.652559,0.482349,0.271878,0.262857,0.277977,0.767610,0.243881,December
11,0.459970,0.579457,0.461018,0.279496,0.306827,0.280670,0.812740,0.156635,December
12,0.460987,0.562238,0.445040,0.177144,0.119991,0.252705,0.760175,0.245456,December
13,0.449892,0.628376,0.448416,0.164371,0.095313,0.140824,0.509936,0.137758,December
14,0.429750,0.704388,0.443666,0.104827,0.109442,0.037173,0.340099,0.058005,December
15,0.408467,0.833209,0.451790,0.073442,0.104639,-0.014017,-0.001963,0.017148,December
16,0.406010,0.944017,0.430768,0.125175,0.113882,-0.036966,-0.067325,-0.009034,December
17,0.404789,0.941848,0.430961,0.121405,0.188756,-0.038703,-0.075446,-0.009720,December
18,0.410310,0.933890,0.426305,0.089729,0.169083,-0.039331,-0.076392,-0.009789,December
19,0.398440,0.933323,0.424348,0.065431,0.176306,-0.039333,-0.076873,-0.009777,December
20,0.383260,0.954748,0.423714,0.106061,0.238757,-0.039052,-0.076933,-0.009762,December
21,0.378922,0.957185,0.423135,0.108563,0.256160,-0.039134,-0.076944,-0.009781,December
22,0.383538,0.955321,0.421701,0.127765,0.261496,-0.038338,-0.076333,-0.009700,December
23,0.381951,0.950853,0.421417,0.127260,0.300479,-0.037996,-0.071304,-0.009258,December
0,0.433626,0.937953,0.600819,0.172400,0.258413,-0.029122,-0.029396,-0.028487,June
1,0.432786,0.940921,0.578892,0.236900,0.385486,-0.030702,-0.029827,-0.028669,June
2,0.431892,0.935073,0.561982,0.360179,0.456802,-0.031570,-0.029832,-0.028707,June
3,0.431795,0.936836,0.536490,0.366201,0.470233,-0.031631,-0.029876,-0.028642,June
4,0.433338,0.911551,0.546133,0.379854,0.484431,-0.027926,0.002849,-0.025936,June
5,0.514586,0.637167,0.573685,0.382977,0.466244,0.181691,0.388500,0.134750,June
6,0.634347,0.305191,0.555937,0.423844,0.402111,0.385225,0.298051,0.416682,June
7,0.723362,0.276044,0.564317,0.453830,0.349081,0.566534,0.390792,0.713517,June
8,0.752717,0.250083,0.564999,0.510801,0.285505,0.684918,0.511241,0.799712,June
9,0.780315,0.198236,0.596760,0.576076,0.419284,0.840046,0.573081,0.869157,June
10,0.792346,0.188557,0.602138,0.581130,0.446729,0.938387,0.689819,0.824263,June
11,0.788398,0.227496,0.588849,0.581266,0.466925,0.971153,0.702204,0.854103,June
12,0.785388,0.233347,0.580086,0.453506,0.189859,0.818205,0.615689,0.875691,June
13,0.796713,0.172330,0.568401,0.352646,0.191624,0.788882,0.644838,0.761487,June
14,0.790835,0.173397,0.551483,0.342954,0.225104,0.637482,0.479577,0.691980,June
15,0.786204,0.215420,0.533662,0.181470,0.168062,0.498583,0.485167,0.794998,June
16,0.777362,0.353013,0.509455,0.151091,0.148515,0.302889,0.267207,0.482368,June
17,0.720324,0.487006,0.511276,0.145044,0.181249,0.117866,0.118724,0.270959,June
18,0.665233,0.587322,0.512880,0.126652,0.246473,-0.021163,0.003802,0.004019,June
19,0.583534,0.611212,0.518022,0.121795,0.236125,-0.029542,-0.028150,-0.027502,June
20,0.562586,0.707958,0.528107,0.162689,0.356821,-0.028503,-0.029179,-0.026045,June
21,0.499642,0.768411,0.544259,0.215589,0.392906,-0.026420,-0.028918,-0.021775,June
22,0.474245,0.915061,0.542811,0.196618,0.377658,-0.023528,-0.026264,-0.027792,June
23,0.463947,0.896758,0.555644,0.189472,0.374960,-0.024876,-0.025366,-0.024692,June
0,0.435997,0.857744,0.613814,0.313660,0.329895,-0.030609,-0.024705,0.005227,November
1,0.413345,0.832089,0.613340,0.386837,0.386838,-0.030311,-0.024844,0.005195,November
2,0.436942,0.792275,0.612237,0.386297,0.387122,-0.030871,-0.024589,0.005154,November
3,0.431727,0.711654,0.609827,0.390096,0.389851,-0.030437,-0.021353,0.005536,November
4,0.395069,0.715283,0.612251,0.362616,0.372628,-0.028068,-0.022994,0.005844,November
5,0.359387,0.717158,0.613591,0.314710,0.357611,-0.027707,-0.022381,0.008018,November
6,0.381650,0.611736,0.629480,0.332502,0.377807,-0.018167,-0.004208,0.028326,November
7,0.412905,0.537188,0.635915,0.378015,0.373818,0.064625,0.127056,0.263510,November
8,0.406737,0.713459,0.641559,0.396844,0.379899,0.132253,0.445688,0.321285,November
9,0.467408,0.571223,0.652066,0.385720,0.340638,0.296877,0.646669,0.513004,November
10,0.488488,0.491480,0.659634,0.352994,0.285669,0.338106,0.717702,0.558042,November
11,0.486809,0.480492,0.660210,0.346950,0.285045,0.363483,0.672200,0.593353,November
12,0.435117,0.613996,0.673208,0.349794,0.320816,0.311872,0.601761,0.538193,November
13,0.436100,0.646707,0.669998,0.285897,0.218274,0.169706,0.541324,0.157426,November
14,0.439436,0.517795,0.672258,0.174166,0.180422,0.180359,0.247999,0.427083,November
15,0.426970,0.524715,0.671786,0.105087,0.143197,0.042170,0.056282,0.312924,November
16,0.346064,0.712827,0.676230,0.096265,0.117207,-0.027288,-0.013188,0.009232,November
17,0.312509,0.794984,0.686323,0.067705,0.107340,-0.031021,-0.024910,0.005355,November
18,0.306319,0.804560,0.688694,0.072937,0.099449,-0.031452,-0.025253,0.005140,November
19,0.289139,0.852024,0.690824,0.091397,0.110522,-0.031476,-0.025453,0.005145,November
20,0.289384,0.831968,0.695216,0.065703,0.098513,-0.031311,-0.025390,0.005167,November
21,0.282585,0.867429,0.697324,0.071439,0.110961,-0.031354,-0.025335,0.005131,November
22,0.282997,0.850673,0.698645,0.069638,0.123032,-0.031185,-0.024405,0.005149,November
23,0.277636,0.866086,0.699076,0.065081,0.115635,-0.030819,-0.022285,0.005320,November
0,0.267273,0.832641,0.270411,0.622914,0.795371,-0.012400,-0.059451,0.016389,April
1,0.260531,0.836874,0.236683,0.878763,0.867788,-0.017242,-0.059926,0.015805,April
2,0.262035,0.893953,0.229227,0.882538,0.863710,-0.018749,-0.059545,0.015752,April
3,0.255220,0.926320,0.231848,0.688835,0.761429,-0.018885,-0.059497,0.015754,April
4,0.256050,0.940878,0.235513,0.571247,0.747085,-0.016715,-0.038442,0.015963,April
5,0.271912,0.897688,0.258058,0.541765,0.783373,0.108112,0.096424,0.085992,April
6,0.287168,0.858489,0.274829,0.509725,0.726018,0.264204,0.293954,0.286355,April
7,0.329866,0.782303,0.297816,0.347143,0.478120,0.356623,0.553038,0.393919,April
8,0.386532,0.666329,0.261137,0.507967,0.631713,0.570485,0.459461,0.443897,April
9,0.403352,0.483456,0.252151,0.734966,0.770830,0.711123,0.599257,0.576184,April
10,0.412801,0.450393,0.250018,0.845967,0.772157,0.828869,0.799639,0.653304,April
11,0.415247,0.455814,0.256867,0.684751,0.742119,0.768146,0.705681,0.367435,April
12,0.354081,0.707055,0.269446,0.251971,0.435161,0.439831,0.721019,0.196317,April
13,0.400597,0.600510,0.248409,0.232380,0.336149,0.607363,0.777936,0.272099,April
14,0.395369,0.542272,0.250651,0.400129,0.395319,0.584064,0.594870,0.546170,April
15,0.390108,0.509852,0.241302,0.777438,0.690331,0.519273,0.319598,0.585074,April
16,0.349652,0.804924,0.266155,0.679570,0.664528,0.145735,0.128079,0.312840,April
17,0.346228,0.789587,0.297419,0.434153,0.481355,0.002889,-0.026059,0.051043,April
18,0.332057,0.783987,0.315764,0.283893,0.341221,-0.017782,-0.054572,0.017841,April
19,0.308804,0.834546,0.352626,0.227262,0.305988,-0.018251,-0.059741,0.016099,April
20,0.270149,0.920680,0.380048,0.253424,0.382517,-0.017403,-0.059824,0.016087,April
21,0.265500,0.944752,0.384245,0.303299,0.334064,-0.017575,-0.059344,0.015916,April
22,0.258605,0.949696,0.389439,0.246654,0.371927,-0.014075,-0.059376,0.015994,April
23,0.256779,0.955265,0.390428,0.248861,0.388403,-0.011552,-0.058223,0.016381,April
0,0.432555,0.913830,0.636512,0.366269,0.550437,0.004852,-0.056891,-0.080382,June
1,0.417137,0.918168,0.635411,0.314877,0.485898,-0.000049,-0.057813,-0.081020,June
2,0.450473,0.921640,0.601743,0.249027,0.465554,-0.003930,-0.057479,-0.081202,June
3,0.406942,0.932272,0.600254,0.183634,0.284891,-0.003607,-0.057664,-0.081068,June
4,0.396960,0.928621,0.590517,0.125822,0.152145,0.007778,-0.048474,-0.073930,June
5,0.413895,0.896186,0.624576,0.111043,0.171446,0.290819,0.133513,0.099736,June
6,0.582481,0.674713,0.642912,0.091746,0.097165,0.388811,0.237935,0.649496,June
7,0.687743,0.351907,0.648971,0.091532,0.089547,0.469273,0.304294,0.219124,June
8,0.724604,0.348231,0.660955,0.105993,0.108929,0.796344,0.426252,0.890195,June
9,0.764039,0.232188,0.666434,0.227454,0.260636,0.956267,0.274172,0.929563,June
10,0.815234,0.144653,0.663491,0.383641,0.395623,1.045531,0.358373,0.942336,June
11,0.810450,0.133275,0.653458,0.441327,0.459299,1.047959,0.340557,0.930813,June
12,0.752152,0.153967,0.629028,0.227755,0.213891,0.970134,0.595184,0.747008,June
13,0.804013,0.133407,0.619388,0.238237,0.276885,0.774706,0.641938,0.170316,June
14,0.800043,0.136715,0.592962,0.321623,0.322173,0.757590,0.540964,0.323480,June
15,0.808822,0.126663,0.574618,0.352520,0.309524,0.572962,0.519079,0.372259,June
16,0.783943,0.195019,0.567361,0.299196,0.202279,0.184149,0.103389,0.245388,June
17,0.707872,0.314813,0.575486,0.258844,0.226726,0.054654,-0.008851,0.095640,June
18,0.619644,0.354345,0.588356,0.214051,0.239396,-0.001574,-0.048674,-0.077251,June
19,0.546567,0.549655,0.607804,0.222421,0.277588,-0.004277,-0.057585,-0.081139,June
20,0.473665,0.639930,0.635313,0.386581,0.466177,-0.004005,-0.057848,-0.081048,June
21,0.435093,0.577454,0.643564,0.274064,0.398872,-0.002591,-0.057787,-0.080243,June
22,0.443856,0.690883,0.652004,0.244245,0.286561,0.003286,-0.056647,-0.077596,June
23,0.425401,0.672582,0.655041,0.207157,0.282880,0.009927,-0.054667,-0.064008,June
0,0.635412,0.831787,0.517706,0.393709,0.599036,-0.084927,-0.018811,-0.010133,July
1,0.623555,0.779338,0.517178,0.318089,0.485704,-0.086742,-0.019454,-0.010402,July
2,0.618126,0.847383,0.512985,0.266787,0.432904,-0.088716,-0.019532,-0.010440,July
3,0.608969,0.891851,0.514259,0.244126,0.390709,-0.088880,-0.019534,-0.010360,July
4,0.602340,0.907175,0.517091,0.286522,0.425398,-0.087083,0.004268,-0.009441,July
5,0.639846,0.884568,0.539437,0.311357,0.456150,-0.014064,0.155656,0.178127,July
6,0.681497,0.681321,0.569466,0.322592,0.420180,0.138224,0.282594,0.419362,July
7,0.749382,0.694081,0.584942,0.501704,0.548837,0.539328,0.498420,0.531896,July
8,0.801959,0.398800,0.590156,0.590493,0.570389,0.571660,0.577829,0.795892,July
9,0.814868,0.452545,0.597879,0.510664,0.444021,0.692745,0.602640,0.804295,July
10,0.810979,0.421318,0.601040,0.664762,0.606212,0.900185,0.596440,0.870018,July
11,0.829041,0.382755,0.594957,0.756173,0.655917,0.979377,0.562797,0.954217,July
12,0.847102,0.325138,0.588088,0.757133,0.657966,0.901904,0.338405,0.958218,July
13,0.845544,0.332196,0.567342,0.754067,0.647540,0.714332,0.298668,0.896730,July
14,0.847875,0.303730,0.549326,0.640442,0.600817,0.658039,0.317296,0.934887,July
15,0.846275,0.293324,0.548442,0.601420,0.559860,0.456384,0.271950,0.888767,July
16,0.829827,0.347535,0.519293,0.465403,0.403994,0.268087,0.160257,0.728357,July
17,0.801090,0.450201,0.524101,0.288400,0.344446,0.107975,0.050939,0.541747,July
18,0.761773,0.519780,0.527805,0.309387,0.385699,-0.072295,-0.010365,0.025705,July
19,0.707671,0.688506,0.534863,0.428412,0.490633,-0.086476,-0.018919,-0.008932,July
20,0.654748,0.759468,0.542559,0.404223,0.475084,-0.087204,-0.018854,-0.009131,July
21,0.646179,0.652302,0.559126,0.388231,0.505896,-0.084975,-0.018623,-0.007719,July
22,0.668787,0.577748,0.558699,0.361499,0.502868,-0.073059,-0.017067,-0.002318,July
23,0.656044,0.628007,0.566658,0.330515,0.459745,-0.077159,-0.016585,0.015502,July
0,0.408813,0.759002,0.692009,0.351281,0.510203,-0.046917,-0.054382,-0.110018,June
1,0.417272,0.738542,0.681857,0.484141,0.560393,-0.047716,-0.054263,-0.110065,June
2,0.410066,0.734739,0.678486,0.468137,0.554762,-0.048957,-0.054174,-0.110084,June
3,0.406097,0.672065,0.677195,0.403731,0.551924,-0.048777,-0.054106,-0.110022,June
4,0.411483,0.823794,0.697207,0.501121,0.561548,-0.038445,-0.031216,-0.102557,June
5,0.435843,0.785733,0.707063,0.518079,0.557061,0.224002,0.090340,0.259777,June
6,0.451951,0.628806,0.709000,0.541791,0.475359,0.333995,0.196567,0.667290,June
7,0.628599,0.313809,0.711746,0.559598,0.435797,0.745392,0.344859,0.830793,June
8,0.620130,0.524838,0.682022,0.526717,0.242675,0.821713,0.236364,0.972346,June
9,0.732133,0.241731,0.696150,0.534358,0.246088,0.971960,0.099198,0.980045,June
10,0.774110,0.159690,0.703602,0.389249,0.241600,1.034372,0.197520,0.972728,June
11,0.770844,0.137778,0.700665,0.370206,0.238641,1.029536,0.412368,0.961573,June
12,0.793387,0.096982,0.683188,0.518179,0.250579,1.020615,0.458836,0.950949,June
13,0.769900,0.082582,0.704522,0.504034,0.272583,0.935910,0.478646,0.919019,June
14,0.723151,0.108502,0.700576,0.378403,0.279023,0.495062,0.351706,0.263156,June
15,0.672786,0.178011,0.701896,0.265031,0.235102,0.430208,0.346243,0.272525,June
16,0.620584,0.388897,0.694985,0.340653,0.267710,0.105398,0.173949,0.137742,June
17,0.635993,0.423601,0.694152,0.238782,0.248558,0.059101,0.063825,0.290632,June
18,0.548472,0.440326,0.700304,0.241995,0.350006,-0.044542,-0.047053,-0.063070,June
19,0.488782,0.378987,0.700456,0.282284,0.493961,-0.046534,-0.054707,-0.102507,June
20,0.452943,0.609333,0.706909,0.266702,0.502349,-0.047240,-0.054240,-0.104673,June
21,0.423050,0.645952,0.700283,0.277555,0.454519,-0.045675,-0.052444,-0.102695,June
22,0.419316,0.738413,0.708874,0.247925,0.391648,-0.040651,-0.052486,-0.105453,June
23,0.409028,0.737735,0.710895,0.230687,0.352655,-0.032232,-0.051663,-0.088225,June
0,0.462944,0.846349,0.588374,0.635948,0.601829,-0.017720,-0.012639,-0.000987,October
1,0.463962,0.821414,0.585595,0.516055,0.547745,-0.018997,-0.012844,-0.001804,October
2,0.471101,0.864890,0.571154,0.367590,0.474743,-0.019896,-0.012844,-0.001891,October
3,0.471828,0.846218,0.575690,0.347094,0.453000,-0.019917,-0.012864,-0.001856,October
4,0.476544,0.877203,0.564835,0.360009,0.438821,-0.018866,-0.009859,-0.000218,October
5,0.451847,0.876542,0.596263,0.368304,0.477255,-0.004380,0.000342,0.034974,October
6,0.518225,0.911674,0.640830,0.380605,0.407347,0.043477,0.182653,0.270282,October
7,0.611961,0.694754,0.669711,0.347315,0.376372,0.214345,0.373842,0.619483,October
8,0.614526,0.644725,0.677616,0.469525,0.298712,0.466719,0.382162,0.925485,October
9,0.609644,0.542519,0.680569,0.577032,0.311209,0.578619,0.384242,0.965699,October
10,0.646596,0.438702,0.680824,0.604499,0.398033,0.656082,0.420838,0.953468,October
11,0.655787,0.407600,0.658565,0.614178,0.375109,0.653166,0.438102,0.941642,October
12,0.660562,0.368008,0.592179,0.632686,0.362987,0.648897,0.417319,0.951883,October
13,0.645151,0.360985,0.567799,0.587513,0.350911,0.576262,0.412373,0.950030,October
